security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange
380,BBTC,Bombay Burmah Trading,EQ,5,1,ES,E,NSE
2388,NELCO,NELCO,EQ,5,1,ES,E,NSE
14423,LAOPALA,La Opala Rg,EQ,5,1,ES,E,NSE
13376,UTTAMSUGAR,Uttam Sugar Mills,EQ,5,1,ES,E,NSE
4,21STCENMGM,21St Century Mgmt Service,EQ,5,1,ES,E,NSE
25328,APLLTD,Alembic Pharma,EQ,5,1,ES,E,NSE
547,BRITANNIA,Britannia Industries,EQ,5,1,ES,E,NSE
8585,NLCINDIA,NLC India,EQ,5,1,ES,E,NSE
14932,ISMTLTD,ISMT,EQ,5,1,ES,E,NSE
14612,SIMBHALS,Simbhaoli Sugars,EQ,5,1,ES,E,NSE
2018,LUMAXIND,Lumax Industries,EQ,5,1,ES,E,NSE
13367,SGL,STL Global,EQ,5,1,ES,E,NSE
1805,KABRAEXTRU,Kabra Extrusion Technik L,EQ,5,1,ES,E,NSE
14707,TIMETECHNO,Time Technoplast,EQ,5,1,ES,E,NSE
13226,GVKPIL,Gvk Power & Infra,EQ,5,1,ES,E,NSE
13620,ANANTRAJ,Anant Raj,EQ,5,1,ES,E,NSE
1336,HEG,HEG,EQ,5,1,ES,E,NSE
21614,ABCAPITAL,Aditya Birla Capital,EQ,5,1,ES,E,NSE
4116,HBSL,Hb Stockholdings,EQ,5,1,ES,E,NSE
371,BATAINDIA,Bata,EQ,5,1,ES,E,NSE
2463,MIDHANI,Mishra Dhatu Nigam,EQ,5,1,ES,E,NSE
11301,LUXIND,Lux Industries,EQ,5,1,ES,E,NSE
1485,IFBIND,IFB Industries,EQ,5,1,ES,E,NSE
17351,SALONA,Salona Cotspin,EQ,5,1,ES,E,NSE
13816,DAAWAT,LT Foods,EQ,5,1,ES,E,NSE
11387,UMANGDAIRY,Umang Dairies,EQ,5,1,ES,E,NSE
3423,TATAMETALI,Tata Metaliks,EQ,5,1,ES,E,NSE
3579,UNICHEMLAB,Unichem Laboratories,EQ,5,1,ES,E,NSE
14008,AVTNPL,Avt Natural Products,EQ,5,1,ES,E,NSE
9348,IOB,Indian Overseas Bank,EQ,5,1,ES,E,NSE
2475,ONGC,ONGC,EQ,5,1,ES,E,NSE
27067,VSSL,Vardhman Special Steels,EQ,5,1,ES,E,NSE
1994,LIBERTSHOE,Liberty Shoes,EQ,5,1,ES,E,NSE
